,Specialty,Program,Link suffix,City,State
0,Neurodevelopmental Disabilities,Children's National Medical Center/George Washington University Program,/Program/GetById/2435,Washington,DC
1,Neurodevelopmental Disabilities,Indiana University School of Medicine Program,/Program/GetById/2436,Indianapolis,IN
2,Neurodevelopmental Disabilities,Johns Hopkins University Program,/Program/GetById/2437,Baltimore,MD
3,Neurodevelopmental Disabilities,Children's Hospital/Beth Israel Deaconess Medical Center/Harvard Medical School Program,/Program/GetById/2438,Boston,MA
4,Neurodevelopmental Disabilities,Oregon Health & Science University Program,/Program/GetById/2439,Portland,OR
5,Neurodevelopmental Disabilities,UPMC Medical Education Program,/Program/GetById/2440,Pittsburgh,PA
6,Neurodevelopmental Disabilities,University of Texas Southwestern Medical Center Program,/Program/GetById/2441,Dallas,TX
7,Neurodevelopmental Disabilities,Baylor College of Medicine Program,/Program/GetById/2442,Houston,TX
