Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
60,"Philadelphia, PA, United States",140.25,85.04,38.49,69.38,79.12,4.48,39.2,52.15,77.98
61,"Brasilia, Brazil",138.92,48.94,38.12,49.15,33.93,11.3,30.21,33.85,98.97
62,"New York, NY, United States",137.67,100,53.04,61.64,100,10.11,43.13,57.58,79.66
63,"Curitiba, Brazil",133.92,27.4,36.9,66.26,30.73,14.96,31.8,31.88,99.6
64,"Los Angeles, CA, United States",131.42,98.51,51.59,61.33,81.92,7.42,60.63,66.32,95.5
65,"Campinas, Brazil",130.45,35.97,33.67,61.41,34.83,10.45,28.52,45.14,98.87
66,"San Juan, Puerto Rico",128.34,72.94,31,60.22,71.74,4.47,37.46,50.7,71.25
67,"Monterrey, Mexico",123,46.63,50.21,66.61,39.97,6.42,31.46,72.07,80.37
68,"Montevideo, Uruguay",121.76,31.99,45.97,67.51,50.63,16.75,37.84,49.45,98.04
69,"Guadalajara, Mexico",119.49,36.89,37.81,78.93,35,9.13,40.54,65.68,92.83
70,"Detroit, MI, United States",118.87,72.63,26.53,62.88,69.73,1.55,46.21,58.48,66.03
71,"San Jose, Costa Rica",117.71,44.07,44.65,63.19,52.08,8.83,64.02,51.95,99.48
72,"Medellin, Colombia",117.29,27.59,48.63,76.14,31.83,17.11,39.11,62.88,99.76
73,"Quito, Ecuador",109.35,28.61,40.67,67.79,43.95,12.44,43.48,65.94,98.97
74,"Porto Alegre, Brazil",109.24,30.18,24.98,62.47,31.9,16.43,31.98,56.43,98.74
75,"Panama City, Panama",106.27,31.02,53.25,58.68,58.57,12.37,35,64.69,67.84
76,"Buenos Aires, Argentina",105.73,35.29,37.42,68.31,39.24,24.61,47.9,52.06,98.28
77,"Santiago, Chile",103.18,33.23,44.83,66.04,50.62,18.69,36.8,70.28,90.21
78,"Belo Horizonte, Brazil",102.62,23.6,36.21,62.64,32.09,22.64,43.74,52.66,98.5
79,"Guatemala City, Guatemala",96.29,25.36,37.72,61.9,46.22,13.79,48.19,72.38,99.89
80,"Mexico City, Mexico",88.33,38.15,30.75,65.08,40.52,13.9,51.61,83.05,92.37
81,"Bogota, Colombia",84.46,22.7,37.19,64.48,33.34,25.86,51.13,69.93,97.12
82,"Sao Paulo, Brazil",84.25,32.87,29.62,58.1,36.55,17.77,50.76,79.73,99.04
83,"Lima, Peru",79.92,27.12,30.05,58.59,39.21,16.67,50.14,84.44,97.69
84,"Recife, Brazil",79.56,21.26,23.91,61.94,31.66,19.06,45.97,70.33,79.28
85,"Caracas, Venezuela",75.32,15.58,15.32,38.92,50.63,15.38,35.94,73.56,99.93
86,"Rio de Janeiro, Brazil",69.67,23.67,22.48,43.78,33.45,23.61,52.07,67.47,88.22
Showing 1 to 86 of 86 entries,,,,,,,,,,
