,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,7660144005,Participating,http://www.medicine.uab.edu/genetics
1,MD,Baltimore,,Johns Hopkins University Program,7662344004,Participating,http://www.hopkinsbayview.org/medicine/residency/overview.html
2,NY,New York,,Icahn School of Medicine at Mount Sinai Program,7663544003,Participating,https://icahn.mssm.edu/education/residencies-fellowships
3,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,7663844001,Participating,
4,TX,Houston,,Baylor College of Medicine Program,7664800001,Participating,https://www.bcm.edu/departments/molecular-and-human-genetics/education/medical-genetics
